"","full_E_GR_E_GS","e_ids","mm_pred","GT","GT_labs","MM_labs"
"564","znuC","b1858",0.876997214,0.781,1,1
"565","znuB","b1859",0.876997214,0.694,1,1
"566","nudB","b1865",0.876997214,0.732,1,1
"567","torZ","b1872",0.876997214,0.72,1,1
"568","torY","b1873",0.876997214,0.781,1,1
"569","otsA","b1896",0.876997214,0.821,1,1
"570","otsB","b1897",0.876997214,0.749,1,1
"571","araH","b4460",0.876997214,0.804,1,1
"572","araG","b1900",0.876997214,0.699,1,1
"573","araF","b1901",0.876997214,0.892,1,1
"574","tyrP","b1907",0.876997214,0.748,1,1
"575","pgsA","b1912",0.876997214,0,0,1
"576","yecC","b1917",0.876997214,0.768,1,1
"577","yecS","b1918",0.876997214,0.75,1,1
"578","fliY","b1920",0.876997214,0.807,1,1
"579","amyA","b1927",0.876997214,0.794,1,1
"580","hchA","b1967",0.876997214,0.746,1,1
"581","shiA","b1981",0.876997214,0.676,1,1
"582","amn","b1982",0.876997214,0.771,1,1
"583","yeeO","b1985",0.876997214,0.808,1,1
"584","cobT","b1991",0.876997214,0.795,1,1
"585","cobS","b1992",0.876997214,0.81,1,1
"586","cobU","b1993",0.876997214,0.724,1,1
"587","dacD","b2010",0.876997214,0.811,1,1
"588","hisG","b2019",0,0.791,1,0
"589","hisD","b2020",0,0.761,1,0
"590","hisC","b2021",0,0.762,1,0
"591","hisB","b2022",0,0.72,1,0
"592","hisH","b2023",0,0.683,1,0
"593","hisA","b2024",0,0.679,1,0
"594","hisF","b2025",0,0.759,1,0
"595","hisI","b2026",0,0.792,1,0
"596","ugd","b2028",0.876997214,0.626,1,1
"597","gnd","b2029",0.873397841,0.781,1,1
"598","wbbK","b2032",0.876997214,0.771,1,1
"599","wbbJ","b2033",0.876997214,0.757,1,1
"600","wbbI","b2034",0.876997214,0.753,1,1
"601","wbbH","b2035",0.876997214,0.822,1,1
"602","glf","b2036",0.876997214,0.791,1,1
"603","rfbC","b2038",0.876997214,0.745,1,1
"604","rfbA","b2039",0.876997214,0.809,1,1
"605","rfbD","b2040",0.876997214,0.826,1,1
"606","rfbB","b2041",0.876997214,0.817,1,1
"607","wcaJ","b2047",0.876997214,0.669,1,1
"608","cpsG","b2048",0.876997214,0.751,1,1
"609","cpsB","b2049",0.876997214,0.85,1,1
"610","gmd","b2053",0.876997214,0.766,1,1
"611","dcd","b2065",0.876997214,0.731,1,1
"612","udk","b2066",0.876997214,0.466,1,1
"613","gatD","b2091",0.876997214,0.825,1,1
"614","gatC","b2092",0.876997214,0.797,1,1
"615","gatB","b2093",0.876997214,0.783,1,1
"616","gatZ","b2095",0.876997214,0.728,1,1
"617","gatY","b2096",0.876997214,0.791,1,1
"618","fbaB","b2097",0.876997214,0.833,1,1
"619","thiD","b2103",0,0.766,1,0
"620","thiM","b2104",0.876997214,0.831,1,1
"621","yehW","b2128",0.876997214,0.692,1,1
"622","yehX","b2129",0.876997214,0.693,1,1
"623","yehY","b2130",0.876997214,0.82,1,1
"624","bglX","b2132",0.876997214,0.761,1,1
"625","dld","b2133",0.876997214,0.924,1,1
"626","pbpG","b2134",0.876997214,0.785,1,1
"627","cdd","b2143",0.876997214,0.752,1,1
"628","mglC","b2148",0.876997214,0.79,1,1
"629","mglA","b2149",0.876997214,0.691,1,1
"630","mglB","b2150",0.876997214,0.48,1,1
"631","folE","b2153",0,0,0,0
"632","yeiG","b2154",0.876997214,0.808,1,1
"633","cirA","b2155",0.876997214,0.784,1,1
"634","lysP","b2156",0.876997214,0.676,1,1
"635","rihB","b2162",0.876997214,0.818,1,1
"636","fruA","b2167",0.876997214,0.813,1,1
"637","fruK","b2168",0.876997214,0.794,1,1
"638","fruB","b2169",0.876997214,0.762,1,1
"639","setB","b2170",0.876997214,0.708,1,1
"640","yeiR","b2173",0.876997214,0.755,1,1
"641","yejA","b2177",0.876997214,0.723,1,1
"642","yejB","b2178",0.876997214,0.761,1,1
"643","yejE","b2179",0.876997214,0.697,1,1
"644","yejF","b2180",0.876997214,0.81,1,1
"645","ccmE","b2197",0.876997214,0.824,1,1
"646","ccmD","b2198",0.876997214,0.775,1,1
"647","ccmC","b2199",0.876997214,0.798,1,1
"648","ccmB","b2200",0.876997214,0.833,1,1
"649","ccmA","b2201",0.876997214,0.782,1,1
"650","napC","b2202",0.876997214,0.81,1,1
"651","napB","b2203",0.876997214,0.762,1,1
"652","napH","b2204",0.876997214,0.774,1,1
"653","napG","b2205",0.876997214,0.74,1,1
"654","napA","b2206",0.876997214,0.801,1,1
"655","mqo","b2210",0.876997214,0.827,1,1
"656","ompC","b2215",0.876997214,0.734,1,1
"657","atoD","b2221",0.876997214,0.825,1,1
"658","atoA","b2222",0.876997214,0.772,1,1
"659","atoE","b2223",0.876997214,0.735,1,1
"660","atoB","b2224",0.876997214,0.809,1,1
"661","ubiG","b2232",0.876997214,0.274,1,1
"662","nrdA","b2234",0.876997214,0,0,1
"663","nrdB","b2235",0.876997214,0,0,1
"664","glpQ","b2239",0.876997214,0.764,1,1
"665","glpT","b2240",0.876997214,0.834,1,1
"666","glpA","b2241",0.876997214,0.739,1,1
"667","glpB","b2242",0.876997214,0.781,1,1
"668","glpC","b2243",0.876997214,0.806,1,1
"669","arnT","b2257",0.876997214,0.774,1,1
"670","menE","b2260",0.876997214,0.725,1,1
"671","menC","b2261",0.876997214,0.449,1,1
"672","menB","b2262",0.876997214,0.755,1,1
"673","menD","b2264",0.876997214,0.738,1,1
"674","menF","b2265",0.876997214,0.724,1,1
"675","nuoN","b2276",0.758643192,0.519,1,1
"676","nuoM","b2277",0.758643192,0.59,1,1
"677","nuoL","b2278",0.758643192,0.513,1,1
"678","nuoK","b2279",0.758643192,0.577,1,1
"679","nuoJ","b2280",0.758643192,0.53,1,1
"680","nuoI","b2281",0.758643192,0.556,1,1
"681","nuoH","b2282",0.758643192,0.567,1,1
"682","nuoG","b2283",0.758643192,0.588,1,1
"683","nuoF","b2284",0.758643192,0.498,1,1
"684","nuoE","b2285",0.758643192,0.395,1,1
"685","nuoC","b2286",0.758643192,0.532,1,1
"686","nuoB","b2287",0.758643192,0.6,1,1
"687","nuoA","b2288",0.758643192,0.561,1,1
"688","yfbR","b2291",0.876997214,0.753,1,1
"689","yfbT","b2293",0.876997214,0.778,1,1
"690","ackA","b2296",0.876997214,0.816,1,1
"691","pta","b2297",0.876997214,0.905,1,1
"692","yfcG","b2302",0.876997214,0.786,1,1
"693","folX","b2303",0.876997214,0.78,1,1
"694","hisP","b2306",0.876997214,0.853,1,1
"695","hisM","b2307",0.876997214,0.716,1,1
"696","hisQ","b2308",0.876997214,0.805,1,1
"697","hisJ","b2309",0.876997214,0.744,1,1
"698","argT","b2310",0.876997214,0.782,1,1
"699","purF","b2312",0,0.566,1,0
"700","folC","b2315",0,0,0,0
"701","accD","b2316",0,0,0,0
"702","pdxB","b2320",0.876995559,0.6,1,1
"703","fabB","b2323",0,0,0,0
"704","mepA","b2328",0.876997214,0.731,1,1
"705","aroC","b2329",0,0.621,1,0
"706","fadL","b2344",0.876997214,0.781,1,1
"707","yfdR","b2361",0.876997214,0.556,1,1
"708","dsdA","b2366",0.876997214,0.788,1,1
"709","yfdE","b2371",0.876997214,0.739,1,1
"710","oxc","b2373",0.876997214,0.78,1,1
"711","frc","b2374",0.876997214,0.749,1,1
"712","glk","b2388",0.876997214,0.906,1,1
"713","mntH","b2392",0.876997214,0.796,1,1
"714","nupC","b2393",0.876997214,0.749,1,1
"715","gltX","b2400",0,0,0,0
"716","xapB","b2406",0.876997214,0.838,1,1
"717","xapA","b2407",0.876997214,0.793,1,1
"718","ligA","b2411",0.876997214,0,0,1
"719","cysZ","b2413",0.876374595,0.76,1,1
"720","cysK","b2414",0.876997214,0.806,1,1
"721","ptsH","b2415",0.867593024,0.869,1,1
"722","ptsI","b2416",0.867593024,0.681,1,1
"723","crr","b2417",0.876997214,0.826,1,1
"724","pdxK","b2418",0.876997214,0.949,1,1
"725","cysM","b2421",0.876997214,0.809,1,1
"726","cysA","b2422",0.876997214,0.715,1,1
"727","cysW","b2423",0.876997214,0.672,1,1
"728","cysU","b2424",0.876997214,0.796,1,1
"729","cysP","b2425",0.876997214,0.746,1,1
"730","murP","b2429",0.876997214,0.823,1,1
"731","yfeW","b2430",0.876997214,0.818,1,1
"732","yfeX","b2431",0.876997214,0.871,1,1
"733","amiA","b2435",0.876997214,0.823,1,1
"734","hemF","b2436",0.876961904,0.804,1,1
"735","eutC","b2440",0.876997214,0.776,1,1
"736","eutB","b2441",0.876997214,0.721,1,1
"737","maeB","b2463",0.876997214,0.85,1,1
"738","talA","b2464",0.876997214,0.834,1,1
"739","tktB","b2465",0.876997214,0.823,1,1
"740","acrD","b2470",0.876997214,0.769,1,1
"741","dapE","b2472",0,0,0,0
"742","purC","b2476",5.13e-13,0.439,1,1
"743","dapA","b2478",0,0,0,0
"744","bcp","b2480",0.876997214,0.741,1,1
"745","hyfA","b2481",0.876997214,0.679,1,1
"746","hyfB","b2482",0.876997214,0.793,1,1
"747","hyfC","b2483",0.876997214,0.941,1,1
"748","hyfD","b2484",0.876997214,0.758,1,1
"749","hyfE","b2485",0.876997214,0.743,1,1
"750","hyfF","b2486",0.876997214,0.725,1,1
"751","hyfG","b2487",0.876997214,0.795,1,1
"752","hyfH","b2488",0.876997214,0.76,1,1
"753","hyfI","b2489",0.876997214,0.767,1,1
"754","hyfJ","b2490",0.876997214,0.817,1,1
"755","focB","b2492",0.876997214,0.719,1,1
"756","uraA","b2497",0.876997214,0.751,1,1
"757","upp","b2498",0.876997214,0.672,1,1
"758","purM","b2499",1.02e-12,0.526,1,1
"759","purN","b2500",0.875752618,0.613,1,1
"760","ppk","b2501",0.876997214,0.757,1,1
"761","ppx","b2502",0.876997214,0.809,1,1
"762","yfgF","b2503",0.876997214,0.746,1,1
"763","guaA","b2507",0,0.19,1,0
"764","guaB","b2508",0.875395337,0.278,1,1
"765","ispG","b2515",0,0,0,0
"766","ndk","b2518",0.876997214,0.721,1,1
"767","pbpC","b2519",0.876997214,0.834,1,1
"768","sseA","b2521",0.876997214,0.71,1,1
"769","pepB","b2523",0.876997214,0.725,1,1
"770","iscA","b2528",0.876995407,0.486,1,1
"771","iscU","b2529",0.876995407,0.388,1,1
"772","iscS","b2530",0,0.329,1,0
"773","suhB","b2533",0.876997214,0,0,1
"774","hcaT","b2536",0.876997214,0.774,1,1
"775","hcaE","b2538",0.876997214,0.812,1,1
"776","hcaF","b2539",0.876997214,0.811,1,1
"777","hcaC","b2540",0.876997214,0.785,1,1
"778","hcaB","b2541",0.876997214,0.795,1,1
"779","hcaD","b2542",0.876997214,0.753,1,1
"780","glyA","b2551",0.865636862,0.668,1,1
"781","hmp","b2552",0.876997214,0.728,1,1
"782","purL","b2557",1.02e-12,0.547,1,1
"783","acpS","b2563",0.876997214,0,0,1
"784","pdxJ","b2564",0,0.788,1,0
"785","nadB","b2574",0,0.714,1,0
"786","trxC","b2582",0.876997214,0.785,1,1
"787","pssA","b2585",0,0,0,0
"788","kgtP","b2587",0.876997214,0.75,1,1
"789","pheA","b2599",0,0.785,1,0
"790","tyrA","b2600",0,0.774,1,0
"791","aroF","b2601",0.876997214,0.729,1,1
"792","gabD","b2661",0.876997214,0.79,1,1
"793","gabT","b2662",0.876997214,0.733,1,1
"794","gabP","b2663",0.876997214,0.685,1,1
"795","ygaP","b2668",0.876997214,0.688,1,1
"796","nrdE","b2675",0.876997214,0.789,1,1
"797","nrdF","b2676",0.876997214,0.665,1,1
"798","proV","b2677",0.876997214,0.788,1,1
"799","proW","b2678",0.876997214,0.75,1,1
"800","proX","b2679",0.876997214,0.681,1,1
"801","ygaZ","b2682",0.876997214,0.855,1,1
"802","ygaH","b2683",0.876997214,0.699,1,1
"803","luxS","b2687",0,0.766,1,0
"804","gshA","b2688",0.876997214,0.787,1,1
"805","yqaB","b2690",0.876997214,0.694,1,1
"806","mltB","b2701",0.876997214,0.648,1,1
"807","srlA","b2702",0.876997214,0.681,1,1
"808","srlE","b2703",0.876997214,0.681,1,1
"809","srlB","b2704",0.876997214,0.772,1,1
"810","srlD","b2705",0.876997214,0.695,1,1
"811","norV","b2710",0.876997214,0.837,1,1
"812","norW","b2711",0.876997214,0.731,1,1
"813","ascF","b2715",0.876997214,0.827,1,1
"814","ascB","b2716",0.876997214,0.797,1,1
"815","hycG","b2719",0.876997214,0.744,1,1
"816","hycF","b2720",0.876997214,0.759,1,1
"817","hycE","b2721",0.876997214,0.783,1,1
"818","hycD","b2722",0.876997214,0.745,1,1
"819","hycC","b2723",0.876997214,0.746,1,1
"820","hycB","b2724",0.876997214,0.706,1,1
"821","hypB","b2727",0.876997214,0.783,1,1
"822","ygbL","b2738",0.876997214,0.766,1,1
"823","ispF","b2746",0,0,0,0
"824","ispD","b2747",0,0,0,0
"825","cysC","b2750",0,0.79,1,0
"826","cysN","b2751",0,0.797,1,0
"827","cysD","b2752",0,0.767,1,0
"828","cysH","b2762",0,0.814,1,0
"829","cysI","b2763",0,0.862,1,0
"830","cysJ","b2764",0,0.698,1,0
"831","eno","b2779",0.803566917,0,0,1
"832","pyrG","b2780",0,0,0,0
"833","mazG","b2781",0.876997214,0.767,1,1
"834","relA","b2784",0.876997214,0.76,1,1
"835","gudD","b2787",0.876997214,0.813,1,1
"836","gudX","b2788",0.876997214,0.777,1,1
"837","gudP","b2789",0.876997214,0.746,1,1
"838","sdaC","b2796",0.876997214,0.722,1,1
"839","sdaB","b2797",0.876997214,0.773,1,1
"840","fucO","b2799",0.876997214,0.749,1,1
"841","fucA","b2800",0.876997214,0.699,1,1
"842","fucP","b2801",0.876997214,0.66,1,1
"843","fucI","b2802",0.876997214,0.731,1,1
"844","fucK","b2803",0.876997214,0.854,1,1
"845","csdA","b2810",0.876997214,0.798,1,1
"846","mltA","b2813",0.876997214,0.7,1,1
"847","amiC","b2817",0.876997214,0.817,1,1
"848","argA","b2818",0,0.767,1,0
"849","thyA","b2827",0,0.257,1,0
"850","aas","b2836",0.86977427,0.788,1,1
"851","lysA","b2838",0,0.827,1,0
"852","araE","b2841",0.876997214,0.71,1,1
"853","kduD","b2842",0.876997214,0.667,1,1
"854","kduI","b2843",0.876997214,0.77,1,1
"855","xdhA","b2866",0.876997214,0.748,1,1
"856","xdhB","b2867",0.876997214,0.722,1,1
"857","xdhC","b2868",0.876997214,0.784,1,1
"858","ygeX","b2871",0.876997214,0.737,1,1
"859","hyuA","b2873",0.876997214,0.734,1,1
"860","guaD","b2883",0.876997214,0.628,1,1
"861","idi","b2889",0.876997214,0.788,1,1
"862","dsbC","b2893",0.876997214,0.743,1,1
"863","fldB","b2895",0.876997214,0.771,1,1
"864","bglA","b2901",0.876997214,0.702,1,1
"865","gcvP","b2903",0.87686311,0.67,1,1
"866","gcvH","b2904",0.87686311,0.643,1,1
"867","gcvT","b2905",0.87686311,0.708,1,1
"868","ubiH","b2907",0.876997214,0.559,1,1
"869","serA","b2913",0.859390785,0.856,1,1
"870","rpiA","b2914",0.876997214,0.297,1,1
"871","argK","b2918",0.876997214,0.798,1,1
"872","argO","b2923",0.876997214,0.723,1,1
"873","mscS","b2924",0.876997214,0.754,1,1
"874","fbaA","b2925",0.876997214,0,0,1
"875","pgk","b2926",0.759442815,0,0,1
"876","epd","b2927",0.876997214,0.844,1,1
"877","yggF","b2930",0.876997214,0.748,1,1
"878","cmtA","b2933",0.876997214,0.68,1,1
"879","cmtB","b2934",0.876997214,0.663,1,1
"880","tktA","b2935",0.876997214,0.7,1,1
"881","speB","b2937",0.876997214,0.959,1,1
"882","speA","b2938",0.876997214,0.789,1,1
"883","metK","b2942",0,0,0,0
"884","galP","b2943",0.876997214,0.932,1,1
"885","gshB","b2947",0.876997214,0.685,1,1
"886","ansB","b2957",0.876997214,0.594,1,1
"887","mltC","b2963",0.876997214,0.569,1,1
"888","nupG","b2964",0.876997214,0.749,1,1
"889","speC","b2965",0.876997214,0.849,1,1
"890","glcB","b2976",0.876997214,0.854,1,1
"891","glcF","b4467",0.876997214,0.764,1,1
"892","glcE","b4468",0.876997214,0.712,1,1
"893","glcD","b2979",0.876997214,0.786,1,1
"894","pitB","b2987",0.876997214,0.625,1,1
"895","gss","b2988",0.876997214,0.798,1,1
"896","yghU","b2989",0.876997214,0.782,1,1
"897","hybC","b2994",0.876997214,0.792,1,1
"898","hybB","b2995",0.876997214,0.821,1,1
"899","hybA","b2996",0.876997214,0.745,1,1
"900","hybO","b2997",0.876997214,0.819,1,1
"901","yghA","b3003",0.876997214,0.73,1,1
"902","exbD","b3005",0.876997214,0.755,1,1
"903","exbB","b3006",0.876997214,0.668,1,1
"904","metC","b3008",0.876997214,0.729,1,1
"905","yqhD","b3011",0.876997214,0.791,1,1
"906","dkgA","b3012",0.876997214,0.852,1,1
"907","plsC","b3018",0,0,0,0
"908","mdaB","b3028",0.876997214,0.828,1,1
"909","ygiN","b3029",0.876993191,0.645,1,1
"910","cpdA","b3032",0.876997214,0.784,1,1
"911","nudF","b3034",0.876997214,0.789,1,1
"912","tolC","b3035",0.876997214,0.782,1,1
"913","zupT","b3040",0,0.786,1,0
"914","ribB","b3041",0,0,0,0
"915","bacA","b3057",0.876997214,0.647,1,1
"916","folB","b3058",0,0.488,1,0
"917","ttdA","b3061",0.876997214,0.711,1,1
"918","ttdB","b3062",0.876997214,0.786,1,1
"919","yqjH","b3070",0.876997214,0.787,1,1
"920","sstT","b3089",0.876997214,0.759,1,1
"921","uxaA","b3091",0.876997214,0.806,1,1
"922","uxaC","b3092",0.876997214,0.841,1,1
"923","exuT","b3093",0.876997214,0.61,1,1
"924","tdcG","b4471",0.876997214,0.753,1,1
"925","tdcE","b3114",0.876997214,0.781,1,1
"926","tdcD","b3115",0.876997214,0.782,1,1
"927","tdcC","b3116",0.876997214,0.854,1,1
"928","tdcB","b3117",0.876997214,0.786,1,1
"929","garK","b3124",0.876997214,0.813,1,1
"930","garR","b3125",0.876997214,0.803,1,1
"931","garL","b3126",0.876997214,0.804,1,1
"932","garP","b3127",0.876997214,0.745,1,1
"933","garD","b3128",0.876997214,0.789,1,1
"934","kbaZ","b3132",0.876997214,0.627,1,1
"935","kbaY","b3137",0.876997214,0.613,1,1
"936","mtr","b3161",0.876997214,0.779,1,1
"937","argG","b3172",0,0.698,1,0
"938","glmM","b3176",0,0.491,1,0
"939","folP","b3177",0,0.528,1,0
"940","dacB","b3182",0.876997214,0.771,1,1
"941","ispB","b3187",0,0,0,0
"942","murA","b3189",0,0,0,0
"943","yrbG","b3196",0,0.727,1,0
"944","kdsD","b3197",0.876997214,0.777,1,1
"945","kdsC","b3198",0,0.741,1,0
"946","mtgA","b3208",0.876997214,0.805,1,1
"947","gltB","b3212",0.876997214,0.757,1,1
"948","gltD","b3213",0.876997214,0.816,1,1
"949","nanK","b3222",0.876997214,0.775,1,1
"950","nanE","b3223",0.876997214,0.779,1,1
"951","nanT","b3224",0.876997214,0.821,1,1
"952","nanA","b3225",0.876997214,0.669,1,1
"953","mdh","b3236",0.856444367,0.536,1,1
"954","aaeB","b3240",0.876997214,0.706,1,1
"955","aaeA","b3241",0.876997214,0.789,1,1
"956","yhdE","b3248",0.876997214,0.798,1,1
"957","accB","b3255",0,0,0,0
"958","accC","b3256",0,0,0,0
"959","panF","b3258",0.876997214,0.878,1,1
"960","acrE","b3265",0.876997214,0.812,1,1
"961","acrF","b3266",0.876997214,0.763,1,1
"962","purH","b4006",0,0.442,1,0
"963","purD","b4005",0,0.538,1,0
"964","hemE","b3997",0,0.579,1,0
"965","nudC","b3996",0.876997214,0.675,1,1
"966","thiC","b3994",0,0.846,1,0
"967","thiE","b3993",0,0.789,1,0
"968","thiF","b3992",0,0.806,1,0
"969","thiS","b4407",0,0.773,1,0
"970","thiG","b3991",0,0.655,1,0
"971","thiH","b3990",0,0.891,1,0
"972","coaA","b3974",0,0.771,1,0
"973","murB","b3972",0,0,0,0
"974","murI","b3967",0,0,0,0
"975","btuB","b3966",0.876997214,0.613,1,1
"976","sthA","b3962",0.876997214,0.719,1,1
"977","argH","b3960",0,0.762,1,0
"978","argB","b3959",0,0.709,1,0
"979","argC","b3958",0,0.803,1,0
"980","argE","b3957",0,0.787,1,0
"981","ppc","b3956",0.874562563,0.895,1,1
"982","pflC","b3952",0.876997214,0.869,1,1
"983","pflD","b3951",0.876997214,0.835,1,1
"984","fsaB","b3946",0.876997214,0.88,1,1
"985","gldA","b3945",0.876997214,0.673,1,1
"986","yijE","b3943",0.876997214,0.767,1,1
"987","katG","b3942",0.876997214,0.752,1,1
"988","metF","b3941",0,0.772,1,0
"989","metL","b3940",0.876997214,0.779,1,1
"990","metB","b3939",0,0.768,1,0
"991","menA","b3930",0.876997214,0.736,1,1
"992","glpF","b3927",0.876997214,0.604,1,1
"993","glpK","b3926",0.876997214,0.771,1,1
"994","glpX","b3925",0.876997214,0.791,1,1
"995","fpr","b3924",0.876997214,0.823,1,1
"996","tpiA","b3919",0.842262557,0.525,1,1
"997","cdh","b3918",0.876997214,0.715,1,1
"998","sbp","b3917",0.876997214,0.773,1,1
"999","pfkA","b3916",0.876997214,0.858,1,1
"1000","fieF","b3915",0.876997214,0.75,1,1
"1001","kdgT","b3909",0.876997214,0.663,1,1
"1002","sodA","b3908",0.876997214,0.755,1,1
"1003","rhaT","b3907",0.876997214,0.748,1,1
"1004","rhaB","b3904",0.876997214,0,0,1
"1005","rhaA","b3903",0.876997214,0,0,1
"1006","rhaD","b3902",0.876997214,0,0,1
"1007","fdoG","b3894",0.876997214,0.824,1,1
"1008","fdoH","b3893",0.876997214,0.706,1,1
"1009","fdoI","b3892",0.876997214,0.785,1,1
"1010","yihX","b3885",0.876997214,0.689,1,1
"1011","yihV","b3883",0.876997214,0.731,1,1
"1012","yihU","b3882",0.876997214,0.81,1,1
"1013","yihT","b3881",0.876997214,0.721,1,1
"1014","yihS","b3880",0.876997214,0.835,1,1
"1015","yihQ","b3878",0.876997214,0.807,1,1
"1016","yihP","b3877",0.876997214,0.832,1,1
"1017","yihO","b3876",0.876997214,0.725,1,1
"1018","ompL","b3875",0.876997214,0.792,1,1
"1019","glnA","b3870",0,0.387,1,0
"1020","hemN","b3867",0.876997214,0.762,1,1
"1021","dsbA","b3860",0.876997214,0.316,1,1
"1022","mobA","b3857",0.876997214,0.767,1,1
"1023","mobB","b3856",0.876997214,0.631,1,1
"1024","hemG","b3850",0,0,0,0
"1025","trkH","b3849",0.876997214,0.684,1,1
"1026","fadB","b3846",0.87452292,0.733,1,1
"1027","fadA","b3845",0.876997214,0.741,1,1
"1028","fre","b3844",0.875198111,0.651,1,1
"1029","ubiD","b3843",0,0,0,0
"1030","ubiE","b3833",0.876997214,0.294,1,1
"1031","udp","b3831",0.876997214,0.773,1,1
"1032","metE","b3829",0.876997214,0.826,1,1
"1033","yigL","b3826",0.876997214,0.841,1,1
"1034","pldB","b3825",0.876997214,0.797,1,1
"1035","rhtB","b3824",0.876997214,0.768,1,1
"1036","rhtC","b3823",0.876997214,0.768,1,1
"1037","pldA","b3821",0.876997214,0.812,1,1
"1038","corA","b3816",0.876996149,0.779,1,1
"1039","yigB","b3812",0.876997214,0.725,1,1
"1040","dapF","b3809",0,0.69,1,0
"1041","cyaA","b3806",0.876997214,0.324,1,1
"1042","hemC","b3805",0,0,0,0
"1043","hemD","b3804",0,0,0,0
"1044","wzyE","b3793",0.876997214,0,0,1
"1045","wzxE","b3792",0.876997214,0.713,1,1
"1046","rffH","b3789",0.876997214,0.715,1,1
"1047","rffG","b3788",0.876997214,0.901,1,1
"1048","wzzE","b3785",0.876997214,0.818,1,1
"1049","trxA","b3781",0.876997214,0.742,1,1
"1050","gpp","b3779",0.876997214,0.793,1,1
"1051","ilvC","b3774",0,0.775,1,0
"1052","ilvA","b3772",0.876997214,0.751,1,1
"1053","ilvD","b3771",0,0.758,1,0
"1054","ilvE","b3770",0,0.8,1,0
"1055","rbsK","b3752",0.876997214,0.596,1,1
"1056","rbsB","b3751",0.876997214,0.937,1,1
"1057","rbsC","b3750",0.876997214,0.527,1,1
"1058","rbsA","b3749",0.876997214,0.497,1,1
"1059","rbsD","b3748",0.876997214,0.688,1,1
"1060","asnA","b3744",0.876997214,0.726,1,1
"1061","atpI","b3739",0.876997214,0.784,1,1
"1062","atpB","b3738",0.284932923,0.229,1,1
"1063","atpE","b3737",0.284932923,0.233,1,1
"1064","atpF","b3736",0.284932923,0.259,1,1
"1065","atpH","b3735",0.284932923,0.315,1,1
"1066","atpA","b3734",0.284932923,0.314,1,1
"1067","atpG","b3733",0.284932923,0.186,1,1
"1068","atpD","b3732",0.284932923,0.237,1,1
"1069","atpC","b3731",0.284932923,0.127,1,1
"1070","glmU","b3730",0,0,0,0
"1071","glmS","b3729",0,0,0,0
"1072","pstS","b3728",0.876997214,0.636,1,1
"1073","pstC","b3727",0.876997214,0.658,1,1
"1074","pstA","b3726",0.876997214,0.616,1,1
"1075","pstB","b3725",0.876997214,0.853,1,1
"1076","bglF","b3722",0.876997214,0.709,1,1
"1077","bglB","b3721",0.876997214,0.809,1,1
"1078","yieH","b3715",0.876997214,0.622,1,1
"1079","tnaA","b3708",0.876762872,0.766,1,1
"1080","yidA","b3697",0.876997214,0.708,1,1
"1081","dgoK","b3693",0.876997214,0.764,1,1
"1082","dgoA","b4477",0.876997214,0.82,1,1
"1083","dgoD","b4478",0.876997214,0.727,1,1
"1084","dgoT","b3691",0.876997214,0.716,1,1
"1085","yidK","b3679",0.876997214,0.74,1,1
"1086","ilvB","b3671",0.876997214,0.788,1,1
"1087","ilvN","b3670",0.876997214,0.776,1,1
"1088","uhpT","b3666",0.876997214,0.819,1,1
"1089","yicI","b3656",0.876997214,0.774,1,1
"1090","gltS","b3653",0.876997214,0.758,1,1
"1091","spoT","b3650",0.876997214,0,0,1
"1092","gmk","b3648",0,0,0,0
"1093","pyrE","b3642",0,0.455,1,0
"1094","dut","b3640",0.876997214,0,0,1
"1095","dfp","b3639",0,0,0,0
"1096","coaD","b3634",0,0,0,0
"1097","kbl","b3617",0.876997214,0.664,1,1
"1098","tdh","b3616",0.876997214,0.771,1,1
"1099","yibQ","b3614",0.876997214,0.685,1,1
"1100","grxC","b3610",0.876997214,0.727,1,1
"1101","gpsA","b3608",0.876653361,0,0,1
"1102","cysE","b3607",0,0.582,1,0
"1103","lldD","b3605",0.876997214,0.916,1,1
"1104","lldP","b3603",0.876997214,0.767,1,1
"1105","mtlD","b3600",0.876997214,0.706,1,1
"1106","mtlA","b3599",0.876997214,0.787,1,1
"1107","selB","b3590",0.876997214,0.865,1,1
"1108","yiaY","b3589",0.876997214,0.831,1,1
"1109","aldB","b3588",0.876997214,0.766,1,1
"1110","sgbE","b3583",0.876997214,0.783,1,1
"1111","sgbU","b3582",0.876997214,0.803,1,1
"1112","sgbH","b3581",0.876997214,0.748,1,1
"1113","lyxK","b3580",0.876997214,0.658,1,1
"1114","yiaO","b3579",0.876997214,0.657,1,1
"1115","yiaN","b3578",0.876997214,0.806,1,1
"1116","yiaM","b3577",0.876997214,0.676,1,1
"1117","yiaK","b3575",0.876997214,0.739,1,1
"1118","avtA","b3572",0.876997214,0.813,1,1
"1119","malS","b3571",0.876997214,0.75,1,1
"1120","xylH","b3568",0.876997214,0.753,1,1
"1121","xylG","b3567",0.876997214,0.802,1,1
"1122","xylF","b3566",0.876997214,0.76,1,1
"1123","xylA","b3565",0.876997214,0.765,1,1
"1124","xylB","b3564",0.876997214,0.815,1,1
"1125","bisC","b3551",0.876997214,0.8,1,1
"1126","eptB","b3546",0.876997214,0.806,1,1
"1127","dppA","b3544",0.876997214,0.723,1,1
"1128","dppB","b3543",0.876997214,0.778,1,1
"1129","dppC","b3542",0.876997214,0.772,1,1
