"cor_v","p_v","cond","meths","ex_o","ex_m","TM"
0.398318225478325,0.0074085230320947,"Together","CF_S - FVA (min)",3.2,3.2,"TM_2"
0.199728617536874,0.193651705707535,"Together","CF_S - FVA (max)",3.2,3.2,"TM_2"
0.15464760317954,0.316183759161133,"Together","CF_S - FBA",3.2,3.2,"TM_2"
0.422734077303273,0.00425328988073351,"Together","CF_MTR - FVA (min)",3.2,3.2,"TM_2"
0.24607763624411,0.107360266123988,"Together","CF_MTR - FVA (max)",3.2,3.2,"TM_2"
0.154219611657825,0.31754128628166,"Together","CF_MTR - FBA",3.2,3.2,"TM_2"
0.437448794329527,0.00298395660226133,"Together","TRIMER",3.2,3.2,"TM_2"
0.430837484514519,0.00350581669637883,"Together","GIMME - FBA",3.2,3.2,"TM_2"
0.332632465981043,0.0273728964123207,"Together","GIMME - FVA (min)",3.2,3.2,"TM_2"
0.574336642816026,4.56867894875427e-05,"Together","GIMME - FVA (max)",3.2,3.2,"TM_2"
0.351763235340724,0.288756529260071,"WT","CF_S - FVA (min)",3.2,3.2,"TM_2"
0.743992942769858,0.00865537667516807,"WT","CF_S - FVA (max)",3.2,3.2,"TM_2"
0.386122919665369,0.240824785837197,"WT","CF_S - FBA",3.2,3.2,"TM_2"
0.351763235340724,0.288756529260071,"WT","CF_MTR - FVA (min)",3.2,3.2,"TM_2"
0.743992942769858,0.00865537667516807,"WT","CF_MTR - FVA (max)",3.2,3.2,"TM_2"
0.386122919665369,0.240824785837197,"WT","CF_MTR - FBA",3.2,3.2,"TM_2"
0.662051122128562,0.0264711109372581,"WT","TRIMER",3.2,3.2,"TM_2"
0.662051122128562,0.0264711109372581,"WT","GIMME - FBA",3.2,3.2,"TM_2"
0.351763235340724,0.288756529260071,"WT","GIMME - FVA (min)",3.2,3.2,"TM_2"
0.750324605079037,0.00781061959555027,"WT","GIMME - FVA (max)",3.2,3.2,"TM_2"
0.653274579918488,0.0292844342158101,"I KO","CF_S - FVA (min)",3.2,3.2,"TM_2"
0.136555666710923,0.688890400361369,"I KO","CF_S - FVA (max)",3.2,3.2,"TM_2"
-0.127138034523963,0.70951081493252,"I KO","CF_S - FBA",3.2,3.2,"TM_2"
0.653274579918488,0.0292844342158101,"I KO","CF_MTR - FVA (min)",3.2,3.2,"TM_2"
0.136555666710923,0.688890400361369,"I KO","CF_MTR - FVA (max)",3.2,3.2,"TM_2"
-0.127138034523963,0.70951081493252,"I KO","CF_MTR - FBA",3.2,3.2,"TM_2"
0.926871570979987,4.07096162291892e-05,"I KO","TRIMER",3.2,3.2,"TM_2"
0.926871570979987,4.07096162291892e-05,"I KO","GIMME - FBA",3.2,3.2,"TM_2"
0.926871570979987,4.07096162291892e-05,"I KO","GIMME - FVA (min)",3.2,3.2,"TM_2"
0.926871570979987,4.07096162291892e-05,"I KO","GIMME - FVA (max)",3.2,3.2,"TM_2"
0.100503781525921,0.768742834209266,"X KO","CF_S - FVA (min)",3.2,3.2,"TM_2"
0.692195965741576,0.0182576408880681,"X KO","CF_S - FVA (max)",3.2,3.2,"TM_2"
0.805207551985099,0.00278453886499692,"X KO","CF_S - FBA",3.2,3.2,"TM_2"
0.100503781525921,0.768742834209266,"X KO","CF_MTR - FVA (min)",3.2,3.2,"TM_2"
0.767537023237258,0.00581883313829828,"X KO","CF_MTR - FVA (max)",3.2,3.2,"TM_2"
0.805207551985099,0.00278453886499692,"X KO","CF_MTR - FBA",3.2,3.2,"TM_2"
-0.107889812495025,0.752191485111736,"X KO","TRIMER",3.2,3.2,"TM_2"
0.700649049745371,0.0163282732394972,"X KO","GIMME - FBA",3.2,3.2,"TM_2"
0.700649049745371,0.0163282732394972,"X KO","GIMME - FVA (min)",3.2,3.2,"TM_2"
0.700649049745371,0.0163282732394972,"X KO","GIMME - FVA (max)",3.2,3.2,"TM_2"
0.603505686981584,0.0493111907062985,"A KO","CF_S - FVA (min)",3.2,3.2,"TM_2"
0.541513850750213,0.0853452880882674,"A KO","CF_S - FVA (max)",3.2,3.2,"TM_2"
0.739284126676377,0.00932544001383248,"A KO","CF_S - FBA",3.2,3.2,"TM_2"
0.366836991033389,0.267122870862884,"A KO","CF_MTR - FVA (min)",3.2,3.2,"TM_2"
0.541513850750213,0.0853452880882674,"A KO","CF_MTR - FVA (max)",3.2,3.2,"TM_2"
0.739284126676377,0.00932544001383248,"A KO","CF_MTR - FBA",3.2,3.2,"TM_2"
0,1,"A KO","TRIMER",3.2,3.2,"TM_2"
0.934198732993827,2.5588242922368e-05,"A KO","GIMME - FBA",3.2,3.2,"TM_2"
0.934198732993827,2.5588242922368e-05,"A KO","GIMME - FVA (min)",3.2,3.2,"TM_2"
0.934198732993827,2.5588242922368e-05,"A KO","GIMME - FVA (max)",3.2,3.2,"TM_2"
